URL;Gibt es eine Kooperation? ;interessant?;Art des Inhalts;Art des Inhalts genau;Text des Links;Zusammenfassung;Zielgruppe;Firmensitz;Kostenmodell;Schwerpunkt;Technologie-Fokus;Sprache;Aktualität;DSGVO Text;DSGVO Ja/Nein;Provision;Wettbewerber;Relevanz KI-Coaching Bewertung;Relevanz KI-Coaching Begründung;Produktkategorie;Letzter Check;;;;
amazon.de/Slow-Zeitalter-Algorithmen-Aufmerksamkeit-zur%C3%BCckgewinnen/dp/3819727418;;;Produktseite (Buch);;Amazon.de: Slow AI (Buch);Buch über digitalen Wandel/Algorithmen und wie Menschen Kontrolle, Aufmerksamkeit und Autonomie zurückgewinnen (Digital Wellbeing/AI-Gesellschaft).;Allgemeines Publikum, Digital-Wellbeing/AI-Interessierte;Amazon Europe (Luxemburg) / Amazon.de;"Einmalkauf (Buch; ggf. Kindle-Option)";Digital Wellbeing, Algorithmen/Autonomie;"Kein Tool; Buch/Essay";Deutsch;nicht verfügbar;Amazon Privacy/DSGVO-Informationen vorhanden (EU-Controller, Rechte/Opt-out).;Ja;Affiliate möglich (Amazon PartnerNet) – nicht verfügbar;Ähnliche Bücher zu Digital Detox/Attention Economy;Niedrig; Kontext, aber kein KI-Coaching;;;;;;
anthro.world/Bildschirme,_k%C3%BCnstliche_Intelligenz_und_Robotik_-_ein_Vortrag_von_David_Martin,_2026#Kann_Technik_mit_Engeln_sprechen?_00:42:21;;;Video-Vortrag (mit Transkript/Timecodes);;Bildschirme, Künstliche Intelligenz und Robotik – Vortrag von Prof. Dr. David Martin;Vortrag von Prof. Dr. David Martin (Kinderheilkunde) über gesundes Aufwachsen von Kindern im Zeitalter von KI/Robotik. Thematisiert Risiken von Bildschirm-/Medienkonsum, ChatGPT, Urteilskraft und die Stärkung menschlicher Kompetenzen als Gegengewicht.;Eltern, Pädagog:innen/Lehrkräfte, Menschen mit Interesse an Anthroposophie, Medienkompetenz und Kindergesundheit;"Rudolf Steiner Haus, Frankfurt am Main (Vortrag); Plattform: anthro.world";Kostenfrei (Plattform auf Basis Freiwilligkeit/Spenden);Pädagogik/Kindergesundheit, Medienkompetenz, gesellschaftlicher Umgang mit KI;KI (u.a. ChatGPT), Robotik, Auswirkungen von Bildschirmmedien;Deutsch;2026 (Jan./Feb.);"Datenschutz/Privacy über anthro.world (Wiki/Website-Policy); keine Hinweise auf aggressive Tracking-Mechanismen im Beitrag.";Ja;Keine;Andere Bildungs-/Vortragsportale (z.B. AnthroWiki, pädagogische Fachportale);Mittel; kein Coaching-Produkt, aber relevante Orientierung/Argumente für Coaching zu Medienkompetenz & KI-Umgang;;;;;;
app.sally.io/App/recordings?type=all&sortBy=createdon&desc=true&count=10&offset=0;;;App (Login-Bereich);;Sally AI – Recordings (Login);"App-Dashboard (Login) für Sally AI Meeting Assistant: Verwaltung von Aufnahmen, Transkripten, AI-Summaries, Aufgaben/Decisions; öffentlich nur Feature-Beschreibung, Inhalte hinter Login.";Teams, Produktivität/Meeting-Doku, Sales/CS/Management;Mannheim, Deutschland (Aliru GmbH);Freemium + Abo (tiers), Enterprise;Meeting-Transkription, Zusammenfassung, Task-Tracking;"Speech-to-text + LLM Summaries, Integrationen; Consent/Opt-out";Englisch/Deutsch;nicht verfügbar;"Security/GDPR- und Privacy-Policy-Seiten vorhanden; EU-Hosting, Consent/Opt-out beschrieben.";Ja;Affiliate/Provision nicht verfügbar;Otter.ai, Fireflies.ai, Fathom, Avoma;Niedrig; Meeting-Assistant, kein Coaching;;;;;;
attunecoach.ai/;;;SaaS-Produkt (AI-Coaching-App);;Attune – AI Coach;Attune ist ein KI-Coaching-Tool für Zusammenarbeit/Kommunikation im Arbeitskontext. Es analysiert Meeting-Transkripte und Nachrichten, erkennt Muster (z.B. Unterbrechungen, Turn-taking, psychologische Sicherheit) und gibt personalisierte Coaching-Insights.;Teams, Führungskräfte, HR/People, Wissensarbeiter:innen mit Fokus auf Zusammenarbeit, schwierige Gespräche und Teamdynamik;Unlimit (Inkubator), Lissabon, Portugal;"Private Beta/Warteliste; Preise nicht öffentlich";Teamdynamik, psychologische Sicherheit, Kommunikationscoaching, schwierige Gespräche;"KI-Analyse von Transkripten/Chats, Kontext-/Memory-Ansatz, Security/Permissions; Nutzerdaten nicht zum Training öffentlicher Modelle";Englisch;Aktiv (Beta, 2026);"Datenschutz-/Security-Fokus (kein Training öffentlicher Modelle mit Nutzerdaten; Berechtigungskonzepte). Details i.d.R. über Privacy Policy.";Ja;Keine;"Gong, Chorus, Poised; Coaching-Plattformen wie BetterUp (anderer Fokus)";Hoch; KI-gestütztes Coaching aus realen Arbeitsinteraktionen (Meetings/Chats);;;;;;
attunecoach.ai/?gad_source=2&gad_campaignid=23486502192&gclid=Cj0KCQiA18DMBhDeARIsABtYwT02c_9mJcfj1RY6qeYJtnPVRdc1I3UuvPtd9Kfmu3DI7o5ZLXmlS_8aAsLGEALw_wcB;;;Produktseite;;Attune Coach AI;"AI Coach für schwierige Workplace-Conversations: Vorbereitung/Guidance für 1:1s/Feedback/Konflikte; privacy-first, Nutzer wählen Datenzugriff.";ICs, Manager, Co-Founders (B2B/B2C);Berlin, Deutschland (Napkin GmbH);Private Beta (Preis nicht veröffentlicht);Kommunikation/Leadership Coaching (Workplace);Conversational AI + Gesprächsframeworks;Englisch;2026;"GDPR/Security-first: keine Trainingsnutzung für öffentliche Modelle, Löschung möglich; Privacy-Infos vorhanden.";Ja;nicht verfügbar;Retorio, BetterUp, CoachHub, Humu;Hoch;;;;;;;
aven8.ai;;;Produktseite;;Aven8 AI;"White-Label Plattform für Consultants/Coaches: baut Custom GPTs („digitale Zwillinge“), 24/7 Support/Feedback für Kunden; Demo-/Quote-basiert.";Consultants, Agencies, Coaches (B2B);Ampfing, Deutschland (Anova GmbH);B2B (Demo/Quote), keine öffentlichen Preise;Custom GPTs / White-Label AI;Custom GPTs, EU/DE Hosting, DPA;Deutsch;nicht verfügbar;"DSGVO-konform; Made/Hosted in Germany; AVV/DPA für Kunden.";Ja;Affiliate/Provision nicht verfügbar;CustomGPT.ai, Botpress, Intercom Fin, Manychat;Mittel–Hoch;;;;;;;
avenit.de/de/?utm_source=mybusiness&utm_medium=organic&utm_campaign=website+url;;;Unternehmensseite;;avenit AG;Digitalagentur für Strategie, Web/UX, Marketing, CDP und Managed Services (Digital Transformation für Unternehmen).;B2B (Mittelstand), Industrie/Manufacturing;Offenburg, Deutschland;Projektgeschäft/Retainer (Quote);Digital Transformation / Web & Marketing;Kein spezifischer KI-Coaching-Fokus;Deutsch;nicht verfügbar;"Datenschutzerklärung vorhanden; DSGVO (DPO/Kontakt) genannt.";Ja;Keine;Digitalagenturen (z.B. Reply, netz98, diva-e);Niedrig;;;;;;;
avoma.com/;;;Produkt-/Anbieterseite;;Avoma;AI Meeting Assistant & Conversation Intelligence: Transkription, Zusammenfassungen, Insights für Meetings (u.a. Sales).;Sales-/CS-Teams, Unternehmen;Palo Alto, Kalifornien (USA);"SaaS-Abo (pro Nutzer/Sitz; Staffeln, teils Add-ons)";Meeting-Insights / (Sales-)Coaching-Unterstützung;Transkription, Summaries, Conversation Analytics;Englisch;nicht verfügbar;"Privacy Policy vorhanden; GDPR-konform + DPA verfügbar; Aussage: keine Datenverkäufe; Sicherheits-/Compliance-Infos (u.a. SOC 2 Type II; HIPAA-Option im Enterprise).";Ja;Affiliate/Provision nicht verfügbar;Gong, Chorus, Fireflies, Fathom;Mittel;;;;;;;
becoach.app/category/tutorial/;;;Tutorial/How-to Artikel;;Tutorials – BeCoach;Tutorial-Seite mit Anleitungen zur Nutzung der BeCoach/BeAssistant-Plattform: Ziele/Aktivitäten anlegen, Habit-Tracker, Coach–Klient-Interaktion und Funktionen zur Unterstützung zwischen Sessions.;"Professional Coaches/Trainer:innen/Berater:innen und ihre Klient:innen; HR/L&D in Unternehmen";BeLabs UG (haftungsbeschränkt), Hamburg (Deutschland);"Abo/SaaS (z.B. ab ca. 50€/Monat; Company-Pakete ab ca. 500€/Monat, je nach Plan)";Digitales Coaching zwischen Sessions, Transfer-/Umsetzungsunterstützung, Habit/OKR/Journaling;"Mobile Apps, Habit Tracking, OKRs, Journaling, Messenger; digitale Coaching-Workflows";Deutsch & Englisch;Aktiv (2026);"DSGVO-orientiert (Hosting/Anbieter in DE, SSL, Lösch-/Widerrufsrechte; Details über Datenschutzerklärung).";Ja;Keine;"Coachingspaces, BetterCoach.io; Learning-/Enablement-Tools wie 360Learning (teilweise AI)";Mittel; digitale Coaching-Plattform (nicht primär „AI-Coach“, aber im Ökosystem relevant);;;;;;
bettercoach.io/;;;Produkt-/Anbieterseite;;BetterCoach;Digitales Coaching-Tool/Plattform für Coaching-Programme und Organisation/Management.;Coaches, Coaching-Businesses;Berlin (Deutschland);"Pay-as-you-go/programmabhängig (keine Fix-Lizenzkosten; Angebot via Demo/Quote)";Coaching-Administration;Coaching-Workflows (kein klarer KI-Fokus);Englisch;nicht verfügbar;"GDPR-konform; ISO 27001; Serverstandort Deutschland; SSL/Verschlüsselung; keine Weitergabe zu Werbezwecken laut Anbieterangaben.";Ja;Affiliate/Provision nicht verfügbar;Delenta, Paperbell, Satori, CoachAccountable;Mittel;;;;;;;
betterup.com/;;;Anbieter-/Produktseite;;BetterUp;"Virtuelle Coaching- & Wellbeing-Plattform: globale Coach-Community + Behavioral Science und AI-gestützte Funktionen/Insights; primär B2B/Enterprise, teils auch für Individuen.";Unternehmen (Mitarbeiter/Leadership) + Einzelpersonen;"Austin, TX (USA) + San Francisco, CA (USA); internationale Büros";"Abo (Individuell grob ~$89–$279+/Monat); Enterprise: custom";Leadership/Performance Coaching & Wellbeing;"Digitale Plattform; AI-gestützte Insights/Matching; Organisations-Reporting aggregiert & de-identifiziert";Englisch;nicht verfügbar;"Privacy Policy; GDPR; EU-US/UK/Swiss Data Privacy Framework (DPF) genannt; Vertraulichkeit von Coachings; Aussage: keine Datenverkäufe.";Ja;Affiliate/Provision nicht verfügbar;CoachHub, Torch, Ezra, Headspace for Work;Hoch;;;;;;;
business.talkspace.com/consultants;;;Anbieterseite;;Talkspace for Business;"B2B-Angebot für digitale Therapie/Psychiatrie als Benefit; Messaging + Live Video/Audio; teils über Versicherungen.";"Employer/Health Plans/Education; Endnutzer: Mitarbeitende/Mitglieder";New York City, USA;B2B-Vertrag (PEPM/Custom), teils via Insurance;Mental Health (Telehealth);Telehealth-Plattform (kein KI-Coaching-Kern);Englisch;nicht verfügbar;"Privacy Policy vorhanden; primär HIPAA, DSGVO wird für EU/EEA/UK erwähnt.";Ja;Keine;Lyra Health, Modern Health, BetterHelp, Spring Health;Niedrig–Mittel;;;;;;;
callminer.com/;;;Produkt-/Anbieterseite;;CallMiner;Conversation Intelligence/Analytics für Contact Center: Qualitäts- und Performance-Insights, unterstützt Coaching von Agents.;Contact Center, Customer Service, Enterprises;Waltham, Massachusetts (USA) + Büro UK (Nottingham);"B2B SaaS (custom/vertraglich; volumen-/seat-basiert)";Agent-Coaching / QA;Speech/Conversation Analytics, ML;Englisch;nicht verfügbar;"Privacy Policy vorhanden; für Produkt/Services GDPR/CCPA/HIPAA/PCI-Standards erwähnt; Data Processor/Controller je Kontext; Funktionen für Löschung/Portabilität und Redaction.";Ja;Affiliate/Provision nicht verfügbar;Tethr, NICE, Verint, Observe.AI;Mittel;;;;;;;
careertrainer.ai/en/blog/the-best-ai-coaching-tools/;;;Blogartikel;;Careertrainer.ai: The Best AI Coaching Tools;Blog-Vergleich zu AI-Coaching-Tools (2026): empfiehlt Hybrid (AI 24/7 + Human für komplexe Themen), Integration in Workflow, Messbarkeit/ROI, Confidentiality.;HR/L&D, Corporate Entscheider;"Deutschland (DE Hosting; Plattform Careertrainer.ai)";Kostenloser Artikel;AI Coaching Tools / Marktüberblick;AI Coaching (Workflow-Integration, Analytics, Privacy);Englisch;2026-01-03;"Betont Confidentiality/Anonymisierung; DSGVO/DE-Hosting als Standardanforderung.";Ja;Keine;CoachHub, BetterUp, Speexx, flowit;Mittel;;;;;;;
careertrainer.ai/fuehrung/mitarbeitergespraech/checkliste/#beispiel-cmd31e3440003pa01h69vd4ul;;;Checkliste/Artikel;;Careertrainer.ai: Mitarbeitergespräch – Checkliste;Checkliste zur Vorbereitung/Durchführung von Mitarbeitergesprächen (Leistung, Zusammenarbeit, Belastung, Entwicklung, Maßnahmenplan).;"Führungskräfte, HR; Mitarbeitende zur Vorbereitung";"Deutschland (DE Hosting; Plattform Careertrainer.ai)";Kostenloser Content;Leadership/HR Gesprächsführung;"Kein direkter KI-Coach (Checkliste); Plattform wirbt mit Safe-AI/Roleplay";Deutsch;nicht verfügbar;Safe-AI: DE-Hosting, Datenminimierung, DPA (Art. 28) erwähnt.;Ja;Keine;Haufe Checklisten, HR Works, Personio Guides;Niedrig–Mittel;;;;;;;
cass.ai/;;;Produkt-/Anbieterseite;;Cass (ehemals Tess/X2AI);KI-gestützter Mental-Health-/Coaching-Chatbot (24/7) für Organisationen/Partner.;Unternehmen/Organisationen, Mitarbeitende/Studierende;nicht verfügbar;B2B (vertraglich/custom);AI Mental Health / AI Coaching;Chatbot/LLM, evidenzbasierte Interventionen (z.B. CBT);Englisch;nicht verfügbar;"Privacy Policy vorhanden; HIPAA/Encryption wird genannt; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;Woebot, Youper, Wysa, PocketConfidant;Hoch;;;;;;;
charliehills.substack.com/p/how-i-reached-180k-on-linkedin-with;;;Newsletter/How-to-Artikel;;How I reached 180k on LinkedIn (with AI);Charlie Hills beschreibt ein System, wie er in ~2 Jahren 180k Follower auf LinkedIn aufgebaut hat. Fokus auf Konsistenz, Engagement und den Einsatz von KI-Prompts für Nischenfindung, Positionierung und Content-Erstellung.;Creator, Solopreneure, B2B-Professionals, Marketer, Gründer:innen (Personal Branding auf LinkedIn);Charlie Hills / „MarTech AI“ (UK, digital);"Freemium (Substack-Artikel frei; Upsell über bezahltes Abo)";LinkedIn-Wachstum, Personal Branding, Content-Systeme;Generative KI (LLMs wie ChatGPT/Claude) für Prompts, Themen- und Content-Entwicklung;Englisch;2025 (Dez.);Datenschutz über Substack (Privacy Policy/Terms beim Abonnieren).;Ja;"Nein (primär Eigenprodukt: Paid-Newsletter; keine expliziten Dritt-Affiliates im Beitrag)";"Andere LinkedIn-Growth-Newsletter/Creator; Alternativen: Cold Email, Paid Ads (wie im Beitrag erwähnt)";Mittel; eher KI als „Strategie-Coach“ für Branding/Marketing, nicht klassisches Coaching;;;;;;
